Date,Brand,Type,Buy,Sell,Spread
2025-02-28 10:20:00,BAO-TIN-MINH-CHAU,Bullion,89100.0,90900.0,1800.0
2025-02-28 10:20:00,BAO-TIN-MINH-CHAU,Ring,89950.0,91400.0,1450.0
2025-02-28 10:20:00,BAO-TIN-MANH-HAI,Ring,89950.0,89950.0,0.0
2025-02-26 22:55:00,MI-HONG,Bullion,90600.0,91500.0,900.0
2025-02-26 22:55:00,MI-HONG,Ring,90500.0,91500.0,1000.0
2025-02-28 10:20:00,NGOC-THAM,Bullion,88800.0,91300.0,2500.0
2025-02-28 10:20:00,NGOC-THAM,Ring,88800.0,91000.0,2200.0
2025-02-28 13:15:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-02-28 13:15:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-02-28 13:15:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-02-28 13:15:00,PNJ,Ring,89800.0,90500.0,700.0
2025-02-28 13:15:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-02-28 13:15:00,SJC,Ring,88500.0,90400.0,1900.0
2025-02-28 13:15:00,PHU-QUY,Bullion,88800.0,90600.0,1800.0
2025-02-28 13:15:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-02-28 13:15:00,BAO-TIN-MINH-CHAU,Bullion,88800.0,90500.0,1700.0
2025-02-28 13:15:00,BAO-TIN-MINH-CHAU,Ring,90050.0,91300.0,1250.0
2025-02-28 13:15:00,BAO-TIN-MANH-HAI,Ring,90050.0,90050.0,0.0
2025-02-28 13:15:00,MI-HONG,Bullion,90000.0,90700.0,700.0
2025-02-28 13:15:00,MI-HONG,Ring,89900.0,90700.0,800.0
2025-02-28 13:15:00,NGOC-THAM,Bullion,88800.0,91300.0,2500.0
2025-02-28 13:15:00,NGOC-THAM,Ring,88800.0,91000.0,2200.0
2025-02-28 15:15:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-02-28 15:15:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-02-28 15:15:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-02-28 15:15:00,PNJ,Ring,89800.0,90500.0,700.0
2025-02-28 15:15:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-02-28 15:15:00,SJC,Ring,88500.0,90400.0,1900.0
2025-02-28 15:15:00,PHU-QUY,Bullion,88800.0,90500.0,1700.0
2025-02-28 15:15:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-02-28 15:15:00,BAO-TIN-MINH-CHAU,Bullion,88800.0,90500.0,1700.0
2025-02-28 15:15:00,BAO-TIN-MINH-CHAU,Ring,90050.0,91300.0,1250.0
2025-02-28 15:15:00,BAO-TIN-MANH-HAI,Ring,90050.0,90050.0,0.0
2025-02-28 15:15:00,MI-HONG,Bullion,89900.0,90500.0,600.0
2025-02-28 15:15:00,MI-HONG,Ring,89700.0,90500.0,800.0
2025-02-28 15:15:00,NGOC-THAM,Bullion,88800.0,91300.0,2500.0
2025-02-28 15:15:00,NGOC-THAM,Ring,88800.0,91000.0,2200.0
2025-02-28 18:10:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-02-28 18:10:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-02-28 18:10:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-02-28 18:10:00,PNJ,Ring,89800.0,90500.0,700.0
2025-02-28 18:10:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-02-28 18:10:00,SJC,Ring,88500.0,90400.0,1900.0
2025-02-28 18:10:00,PHU-QUY,Bullion,88800.0,90500.0,1700.0
2025-02-28 18:10:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-02-28 18:10:00,BAO-TIN-MINH-CHAU,Bullion,88800.0,90500.0,1700.0
2025-02-28 18:10:00,BAO-TIN-MINH-CHAU,Ring,90050.0,91300.0,1250.0
2025-02-28 18:10:00,BAO-TIN-MANH-HAI,Ring,90050.0,90050.0,0.0
2025-02-28 18:10:00,MI-HONG,Bullion,90400.0,91000.0,600.0
2025-02-28 18:10:00,MI-HONG,Ring,90200.0,91000.0,800.0
2025-02-28 18:10:00,NGOC-THAM,Bullion,89000.0,91500.0,2500.0
2025-02-28 18:10:00,NGOC-THAM,Ring,89000.0,91200.0,2200.0
2025-03-01 09:20:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-03-01 09:20:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-03-01 09:20:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-03-01 09:20:00,PNJ,Ring,89800.0,90500.0,700.0
2025-03-01 09:20:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-03-01 09:20:00,SJC,Ring,88500.0,90400.0,1900.0
2025-03-01 09:20:00,PHU-QUY,Bullion,88700.0,90500.0,1800.0
2025-03-01 09:20:00,PHU-QUY,Ring,89600.0,91100.0,1500.0
2025-03-01 09:20:00,BAO-TIN-MINH-CHAU,Bullion,88600.0,90500.0,1900.0
2025-03-01 09:20:00,BAO-TIN-MINH-CHAU,Ring,90100.0,91300.0,1200.0
2025-03-01 09:20:00,BAO-TIN-MANH-HAI,Ring,90100.0,90100.0,0.0
2025-03-01 09:20:00,MI-HONG,Bullion,90500.0,91000.0,500.0
2025-03-01 09:20:00,MI-HONG,Ring,90300.0,91000.0,700.0
2025-03-01 09:20:00,NGOC-THAM,Bullion,89000.0,91500.0,2500.0
2025-03-01 09:20:00,NGOC-THAM,Ring,89000.0,91200.0,2200.0
2025-03-01 10:25:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-03-01 10:25:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-03-01 10:25:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-03-01 10:25:00,PNJ,Ring,89800.0,90500.0,700.0
2025-03-01 10:25:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-03-01 10:25:00,SJC,Ring,88500.0,90400.0,1900.0
2025-03-01 10:25:00,PHU-QUY,Bullion,88700.0,90500.0,1800.0
2025-03-01 10:25:00,PHU-QUY,Ring,89600.0,91100.0,1500.0
2025-03-01 10:25:00,BAO-TIN-MINH-CHAU,Bullion,88600.0,90500.0,1900.0
2025-03-01 10:25:00,BAO-TIN-MINH-CHAU,Ring,90100.0,91300.0,1200.0
2025-03-01 10:25:00,BAO-TIN-MANH-HAI,Ring,90100.0,90100.0,0.0
2025-03-01 10:25:00,MI-HONG,Bullion,90600.0,91200.0,600.0
2025-03-01 10:25:00,MI-HONG,Ring,90400.0,91200.0,800.0
2025-03-01 10:25:00,NGOC-THAM,Bullion,88600.0,91100.0,2500.0
2025-03-01 10:25:00,NGOC-THAM,Ring,88600.0,90800.0,2200.0
2025-03-01 13:15:00,DOJI,Bullion,88500.0,90500.0,2000.0
2025-03-01 13:15:00,DOJI,Ring,90000.0,91000.0,1000.0
2025-03-01 13:15:00,PNJ,Bullion,88500.0,90500.0,2000.0
2025-03-01 13:15:00,PNJ,Ring,89800.0,90500.0,700.0
2025-03-01 13:15:00,SJC,Bullion,88500.0,90500.0,2000.0
2025-03-01 13:15:00,SJC,Ring,88500.0,90400.0,1900.0
2025-03-01 13:15:00,PHU-QUY,Bullion,88700.0,90500.0,1800.0
2025-03-01 13:15:00,PHU-QUY,Ring,89700.0,91200.0,1500.0
2025-03-01 13:15:00,BAO-TIN-MINH-CHAU,Bullion,88700.0,90500.0,1800.0
2025-03-01 13:15:00,BAO-TIN-MINH-CHAU,Ring,90100.0,91300.0,1200.0
2025-03-01 13:15:00,BAO-TIN-MANH-HAI,Ring,90100.0,90100.0,0.0
2025-03-01 13:15:00,MI-HONG,Bullion,90700.0,91400.0,700.0
2025-03-01 13:15:00,MI-HONG,Ring,90500.0,91400.0,900.0
